reference_file,target_file,reference_base_frequency_hz,target_base_frequency_hz,reference_band,reference_frequency_hz,reference_relative_frequency_hz,reference_level_db,target_band,target_frequency_hz,target_relative_frequency_hz,target_level_db,raw_frequency_shift_hz,aligned_frequency_shift_hz,band_level_difference_db,envelope_difference_db,matched
14_Sing tone.wav,07_Multifonic fujara - long shepherd pipe.wav,503.90625,480.46875,3,2062.5,1558.59375,-0.26642139225723654,2,2121.09375,1640.625,-18.893938253341013,58.59375,82.03125,-18.627516861083777,-17.79094812529472,yes
14_Sing tone.wav,07_Multifonic fujara - long shepherd pipe.wav,503.90625,480.46875,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-16.152381893881817,no
14_Sing tone.wav,07_Multifonic fujara - long shepherd pipe.wav,503.90625,480.46875,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-14.803600438963773,no
14_Sing tone.wav,08_Multifonic higher.wav,503.90625,621.09375,1,515.625,11.71875,25.200724758788407,1,656.25,35.15625,24.880646363676682,140.625,23.4375,-0.3200783951117252,-0.5483417550438183,yes
14_Sing tone.wav,08_Multifonic higher.wav,503.90625,621.09375,2,1207.03125,703.125,15.428492537981501,,,,,,,,-0.9883134904538657,no
14_Sing tone.wav,08_Multifonic higher.wav,503.90625,621.09375,3,2062.5,1558.59375,-0.26642139225723654,2,1957.03125,1335.9375,-0.02232981927746666,-105.46875,-222.65625,0.24409157297976988,-6.039590917925804,yes
14_Sing tone.wav,08_Multifonic higher.wav,503.90625,621.09375,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-1.0397391306399477,no
14_Sing tone.wav,08_Multifonic higher.wav,503.90625,621.09375,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,4.695482401600179,no
14_Sing tone.wav,09_Multifonic higher.wav,503.90625,539.0625,1,515.625,11.71875,25.200724758788407,1,585.9375,46.875,25.357573743709647,70.3125,35.15625,0.15684898492123978,-0.36613675982987814,yes
14_Sing tone.wav,09_Multifonic higher.wav,503.90625,539.0625,2,1207.03125,703.125,15.428492537981501,,,,,,,,5.420583066588204,no
14_Sing tone.wav,09_Multifonic higher.wav,503.90625,539.0625,3,2062.5,1558.59375,-0.26642139225723654,,,,,,,,3.4946169917711236,no
14_Sing tone.wav,09_Multifonic higher.wav,503.90625,539.0625,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,6.544515178405945,no
14_Sing tone.wav,09_Multifonic higher.wav,503.90625,539.0625,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,9.184697398014222,no
14_Sing tone.wav,10_Multifonic higher.wav,503.90625,550.78125,1,515.625,11.71875,25.200724758788407,1,585.9375,35.15625,21.71248044597832,70.3125,23.4375,-3.488244312810089,-3.702805010330575,yes
14_Sing tone.wav,10_Multifonic higher.wav,503.90625,550.78125,2,1207.03125,703.125,15.428492537981501,,,,,,,,-6.908281048697027,no
14_Sing tone.wav,10_Multifonic higher.wav,503.90625,550.78125,3,2062.5,1558.59375,-0.26642139225723654,2,2027.34375,1476.5625,-2.8662731954999234,-35.15625,-82.03125,-2.5998518032426867,-4.60788995931305,yes
14_Sing tone.wav,10_Multifonic higher.wav,503.90625,550.78125,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-7.1388767984170975,no
14_Sing tone.wav,10_Multifonic higher.wav,503.90625,550.78125,5,4628.90625,4125.0,-18.66081635874752,3,4500.0,3949.21875,-16.83177032306665,-128.90625,-175.78125,1.8290460356808715,0.9383899015333554,yes
14_Sing tone.wav,11_Multifonic higher.wav,503.90625,210.9375,1,515.625,11.71875,25.200724758788407,,,,,,,,-3.3220950745903757,no
14_Sing tone.wav,11_Multifonic higher.wav,503.90625,210.9375,2,1207.03125,703.125,15.428492537981501,1,1066.40625,855.46875,11.660038989136982,-140.625,152.34375,-3.768453548844519,-2.393555293884278,yes
14_Sing tone.wav,11_Multifonic higher.wav,503.90625,210.9375,3,2062.5,1558.59375,-0.26642139225723654,2,1992.1875,1781.25,-5.957264802884799,-70.3125,222.65625,-5.690843410627562,-3.669731730012927,yes
14_Sing tone.wav,11_Multifonic higher.wav,503.90625,210.9375,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-3.993445893052364,no
14_Sing tone.wav,11_Multifonic higher.wav,503.90625,210.9375,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,3.083462519195292,no
14_Sing tone.wav,12_Bissbigliando.wav,503.90625,527.34375,1,515.625,11.71875,25.200724758788407,1,585.9375,58.59375,-0.6350528565692726,70.3125,46.875,-25.83577761535768,-26.10488880638879,yes
14_Sing tone.wav,12_Bissbigliando.wav,503.90625,527.34375,2,1207.03125,703.125,15.428492537981501,,,,,,,,-26.0621519081013,no
14_Sing tone.wav,12_Bissbigliando.wav,503.90625,527.34375,3,2062.5,1558.59375,-0.26642139225723654,2,1968.75,1441.40625,-20.022638879094174,-93.75,-117.1875,-19.75621748683694,-21.373850810695664,yes
14_Sing tone.wav,12_Bissbigliando.wav,503.90625,527.34375,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-15.093928905634314,no
14_Sing tone.wav,12_Bissbigliando.wav,503.90625,527.34375,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-11.545978265878095,no
14_Sing tone.wav,13_Colour sound.wav,503.90625,445.3125,1,515.625,11.71875,25.200724758788407,1,445.3125,0.0,-6.863623554813731,-70.3125,-11.71875,-32.06434831360214,-32.14154855311538,yes
14_Sing tone.wav,13_Colour sound.wav,503.90625,445.3125,2,1207.03125,703.125,15.428492537981501,2,1265.625,820.3125,-15.306768209326655,58.59375,117.1875,-30.735260747308157,-29.95337721382132,yes
14_Sing tone.wav,13_Colour sound.wav,503.90625,445.3125,3,2062.5,1558.59375,-0.26642139225723654,3,2097.65625,1652.34375,-23.301785848926713,35.15625,93.75,-23.035364456669477,-22.50003617071163,yes
14_Sing tone.wav,13_Colour sound.wav,503.90625,445.3125,4,3691.40625,3187.5,-13.988398758028264,,,,,,,,-14.719273357918365,no
14_Sing tone.wav,13_Colour sound.wav,503.90625,445.3125,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-13.141203857616116,no
14_Sing tone.wav,15_Slaps with reed and without reed.wav,503.90625,480.46875,1,515.625,11.71875,25.200724758788407,,,,,,,,-44.91086409214398,no
14_Sing tone.wav,15_Slaps with reed and without reed.wav,503.90625,480.46875,2,1207.03125,703.125,15.428492537981501,,,,,,,,-37.08577030754043,no
14_Sing tone.wav,15_Slaps with reed and without reed.wav,503.90625,480.46875,3,2062.5,1558.59375,-0.26642139225723654,1,2003.90625,1523.4375,-25.795516683536015,-58.59375,-35.15625,-25.52909529127878,-25.792748579779353,yes
14_Sing tone.wav,15_Slaps with reed and without reed.wav,503.90625,480.46875,4,3691.40625,3187.5,-13.988398758028264,2,3914.0625,3433.59375,-32.28364697694971,222.65625,246.09375,-18.295248218921447,-18.799150216131753,yes
14_Sing tone.wav,15_Slaps with reed and without reed.wav,503.90625,480.46875,5,4628.90625,4125.0,-18.66081635874752,,,,,,,,-16.914887371973283,no
